cell_unit,long,lat,Acorn Woodpecker,White-breasted Nuthatch,Clark's Nutcracker,House Wren,White-headed Woodpecker,Swainson's Thrush,Pacific-slope Flycatcher,Hermit Warbler,Purple Finch,Orange-crowned Warbler,Williamson's Sapsucker,Mourning Dove,MacGillivray's Warbler,Brewer's Blackbird,Western Bluebird,Mountain Quail,Blue-gray Gnatcatcher,Lazuli Bunting,Yellow-rumped Warbler,Dark-eyed Junco,American Robin,House Finch,Northern Flicker,Western Tanager,Red-breasted Nuthatch,Mountain Bluebird,Warbling Vireo,Common Poorwill,Black-headed Grosbeak,Mountain Chickadee,Brown Creeper,Nashville Warbler,Evening Grosbeak,Band-tailed Pigeon,Pileated Woodpecker,Dusky Flycatcher,Red-naped Sapsucker,Pine Siskin,Red-tailed Hawk,Olive-sided Flycatcher,Oak Titmouse,Common Nighthawk,Fox Sparrow,Red-breasted Sapsucker,California Scrub-Jay,American Kestrel,Red Crossbill,Golden-crowned Kinglet,Western Wood-Pewee,Woodhouse's Scrub-Jay,Common Raven,Hairy Woodpecker,Ash-throated Flycatcher,Green-tailed Towhee,Steller's Jay,Plumbeous Vireo,California Quail,Hermit Thrush,Hutton's Vireo,Townsend's Solitaire,Spotted Towhee,Bushtit,Cassin's Vireo,Hammond's Flycatcher,Lesser Goldfinch,Pacific Wren,Black-backed Woodpecker,Wrentit,Western Kingbird,Wilson's Warbler,Pygmy Nuthatch,Downy Woodpecker,Sooty Grouse,White-throated Swift,Gray Flycatcher,Violet-green Swallow,California Towhee,Cassin's Finch,Red-shouldered Hawk,Chipping Sparrow,Nuttall's Woodpecker,Rufous-crowned Sparrow,Rock Wren,Bewick's Wren,Brewer's Sparrow,Yellow Warbler,Canyon Wren,Bullock's Oriole,Phainopepla,Vaux's Swift,Osprey,Black Phoebe,Eurasian Collared-Dove,Chestnut-backed Chickadee,Yellow-breasted Chat,Lawrence's Goldfinch,Wild Turkey,Tree Swallow,Song Sparrow,Brown-headed Cowbird,California Thrasher,burnYear
C2477_U1,-120.36219303173604,39.276437657187834,3.3055555555555554,0.1388888888888889,0.25,0.05555555555555555,5.138888888888889,0.19444444444444445,0.05555555555555555,74.75,9.527777777777779,1.75,0.027777777777777776,0.1111111111111111,2.25,0.08333333333333333,0.027777777777777776,5.638888888888889,0.05555555555555555,0.027777777777777776,12.805555555555555,0.2222222222222222,183.88888888888889,0.05555555555555555,12.694444444444445,849.1388888888889,142.16666666666666,0.16666666666666666,0.05555555555555555,0.027777777777777776,74.55555555555556,279.5,9.222222222222221,1,2.9444444444444446,0.027777777777777776,21.88888888888889,0.027777777777777776,0.6944444444444444,0.05555555555555555,0.08333333333333333,0.3888888888888889,0.027777777777777776,0.75,0.3611111111111111,1.3888888888888888,0.3333333333333333,0.027777777777777776,0.05555555555555555,38.083333333333336,17.583333333333332,0.027777777777777776,4.75,0.8888888888888888,0.1388888888888889,2.861111111111111,231,0.1111111111111111,0.027777777777777776,889.3611111111111,0.027777777777777776,0.75,2.75,0.027777777777777776,1.7222222222222223,0.3888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1908
C2477_U2,-120.3578289127931,39.27104134801285,1.4444444444444444,0.3611111111111111,0.3611111111111111,0,14.027777777777779,0.1388888888888889,0.05555555555555555,11.5,19.694444444444443,0.1388888888888889,1.4166666666666667,0,0.05555555555555555,0.08333333333333333,0.1111111111111111,8.055555555555555,0.027777777777777776,0.05555555555555555,25.5,6.666666666666667,111.80555555555556,0.027777777777777776,3.4444444444444446,1387.0555555555557,497.1388888888889,0.08333333333333333,0.7222222222222222,0.1111111111111111,3.4722222222222223,67.36111111111111,70.02777777777777,0.2222222222222222,6.027777777777778,0.027777777777777776,14.777777777777779,0,3.138888888888889,0.027777777777777776,0,0.3888888888888889,0,0.8888888888888888,0,10.472222222222221,0.08333333333333333,0.027777777777777776,0.08333333333333333,28.47222222222222,72.97222222222223,0.08333333333333333,1.6666666666666667,3.9444444444444446,0.3611111111111111,0,123.33333333333333,0.3611111111111111,0.2222222222222222,17.97222222222222,0.05555555555555555,0.6666666666666666,0.19444444444444445,0.5833333333333334,0.08333333333333333,22.47222222222222,0.027777777777777776,0.08333333333333333,0.08333333333333333,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.027777777777777776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
C2616_U1,-120.37733581441644,39.189139508738236,1.0476190476190477,0.29523809523809524,0.0761904761904762,0.009523809523809525,8.142857142857142,0.009523809523809525,0.20952380952380953,70.84761904761905,5.085714285714285,0.17142857142857143,0.02857142857142857,0.19047619047619047,0.10476190476190476,0,0.02857142857142857,13.323809523809524,0.009523809523809525,0,102.03809523809524,0.20952380952380953,39.304761904761904,0,10.209523809523809,475.85714285714283,331.3142857142857,0.01904761904761905,0.009523809523809525,0.009523809523809525,5.828571428571428,186.95238095238096,74.76190476190476,0.6285714285714286,1.7523809523809524,0.009523809523809525,1.4857142857142858,3.2857142857142856,0.47619047619047616,0.1619047619047619,0,0.12380952380952381,0.009523809523809525,1.2571428571428571,0.17142857142857143,1.4285714285714286,0.11428571428571428,0,0.08571428571428572,4.180952380952381,24.78095238095238,0.009523809523809525,0.47619047619047616,11.266666666666667,0.02857142857142857,0.4666666666666667,96.28571428571429,0.14285714285714285,0.009523809523809525,12.542857142857143,0.01904761904761905,35.32380952380952,0.638095238095238,0.02857142857142857,3.6857142857142855,0.09523809523809523,0,0.01904761904761905,0,0.05714285714285714,0.009523809523809525,0,0,0.08571428571428572,0.009523809523809525,0.01904761904761905,0.009523809523809525,0.02857142857142857,0.009523809523809525,0.009523809523809525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
C2616_U2,-120.3774059939235,39.19441143675014,0.1111111111111111,0.2638888888888889,0.027777777777777776,0,6.5,0.05555555555555555,0.027777777777777776,78.40277777777777,2.8333333333333335,0.16666666666666666,0,0.125,0.2777777777777778,0.027777777777777776,0.013888888888888888,2.6805555555555554,0,0,120.77777777777777,0.09722222222222222,10.277777777777779,0,2.9722222222222223,620,1074.875,0.18055555555555555,0.5555555555555556,0,1.3333333333333333,95.77777777777777,38.333333333333336,0.4166666666666667,11.98611111111111,0,0.2916666666666667,9.51388888888889,0.05555555555555555,0.027777777777777776,0,0.1388888888888889,0.027777777777777776,1.125,0.3888888888888889,0.9583333333333334,0.041666666666666664,0,0.013888888888888888,23.166666666666668,1.2777777777777777,0,0.1388888888888889,2.4027777777777777,0.027777777777777776,0,73.40277777777777,0.041666666666666664,0.027777777777777776,299.56944444444446,0.013888888888888888,2.6666666666666665,0.1111111111111111,0,0.8472222222222222,0.9305555555555556,0,0.013888888888888888,0,0.027777777777777776,0.013888888888888888,0.013888888888888888,0,0,0,0.013888888888888888,0.013888888888888888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
C2641_U1,-120.50734378721123,39.17455314406565,1.05,0.54,0.03,0.29,21.7,0.02,0.19,0.49,4.99,0.66,0.12,0.11,69.78,0.15,0.27,241.26,0.1,3.62,39.78,19.14,239.64,0.05,24.45,266.99,337.93,0.04,0.05,0.03,24.41,134.38,4.48,8.73,0.9,0.02,2.11,63.79,1.69,1,0,397.83,0.03,2.65,10.32,2.39,0.22,0.07,0.51,10.94,203.05,0.08,2.92,11.11,0.55,49.28,126.55,0.65,0.04,21.7,0.05,5.94,3.07,0.25,4.07,0.25,0.01,0.09,0.13,0.07,0,1.37,0,0,0,0.02,0.02,0.14,0.37,0.29,0.01,0.23,0.01,0.06,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
C2642_U1,-120.46128199157415,39.172795322683065,0.58,0.14,0.62,0.41,28.52,0.04,0.07,1.56,15.16,0.04,0.43,0.02,1.42,0.07,0.03,72.09,0.06,8.55,44.84,1.03,114.64,1.14,6.08,652.8,223.42,1.36,0.1,0.03,5.06,290.35,5.88,1.2,3.02,0,0.38,19.63,12.94,1.35,0,81.79,0,1.94,1.69,10.4,0.08,0.01,0.24,18.52,379.49,0.05,1.41,14.47,0.1,62.58,91.03,0.86,0.03,5.53,0.23,107.55,0.56,0.14,3.21,0.01,0.09,0.14,0,0.06,0.01,0.01,0.01,0,0.01,0.12,0.09,0.02,0.02,6.57,0,0,0,0.08,0.03,0.01,0.03,0.01,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
C2642_U2,-120.4714650826417,39.17350637376387,0.9848484848484849,21.12121212121212,0.045454545454545456,0,11.136363636363637,0.015151515151515152,0.10606060606060606,0.5757575757575758,1.893939393939394,0.24242424242424243,0.21212121212121213,0.030303030303030304,0.12121212121212122,0.015151515151515152,0.030303030303030304,18.37878787878788,0,0,338.8636363636364,0.6515151515151515,10.5,0,7.0606060606060606,405.969696969697,669.0909090909091,0.030303030303030304,0,0,1.6515151515151516,69.34848484848484,4.515151515151516,0.19696969696969696,0.7121212121212122,0,0.3333333333333333,0.045454545454545456,4.7727272727272725,0.3181818181818182,0,1.5303030303030303,0,6.0606060606060606,0.8636363636363636,9.151515151515152,0,0,0.19696969696969696,79.8030303030303,0.9545454545454546,0,0.30303030303030304,4.242424242424242,0.06060606060606061,0.25757575757575757,70.15151515151516,0.30303030303030304,0,6.4393939393939394,0.06060606060606061,13.545454545454545,0.2878787878787879,0.015151515151515152,0.13636363636363635,0,0,0.030303030303030304,0.06060606060606061,0,0,0.015151515151515152,0,0,0.015151515151515152,0,0,0,0,0.015151515151515152,0,0,0,0.015151515151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
C2675_U1,-120.37568491185344,39.15084339142191,0.29411764705882354,0.6078431372549019,0.058823529411764705,0,13.529411764705882,0.47058823529411764,0.19607843137254902,77.58823529411765,11.029411764705882,0.08823529411764706,0.3627450980392157,0.049019607843137254,1.5588235294117647,0,0.00980392156862745,15.029411764705882,0.00980392156862745,0.5686274509803921,164.34313725490196,0.11764705882352941,20.274509803921568,0,4.068627450980392,1901.1960784313726,430.77450980392155,0.20588235294117646,0.19607843137254902,0.12745098039215685,5.813725490196078,40.36274509803921,37.85294117647059,0.49019607843137253,17.519607843137255,0.0196078431372549,2.0392156862745097,0.08823529411764706,1.1666666666666667,0.29411764705882354,0,0.2647058823529412,0,1.696078431372549,0.28431372549019607,2.4411764705882355,0.029411764705882353,0.029411764705882353,0.14705882352941177,84.43137254901961,12.950980392156863,0,12.127450980392156,11.264705882352942,0.18627450980392157,0.14705882352941177,25.372549019607842,1.4803921568627452,0,164.80392156862746,0.20588235294117646,2.6372549019607843,0.39215686274509803,0,34.46078431372549,176.2549019607843,0,0,0,0.0196078431372549,0.0392156862745098,0.00980392156862745,0.08823529411764706,0,0,0,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0,0.0392156862745098,0.0196078431372549,0.00980392156862745,0,0,0,0,0,0,0,0,0,0,0,0,NA
C2675_U2,-120.38823356485915,39.157663145630906,0.24509803921568626,0.11764705882352941,0.00980392156862745,0,5.5,0.029411764705882353,0.14705882352941177,12.049019607843137,0.5196078431372549,0.13725490196078433,0.00980392156862745,0.08823529411764706,32.61764705882353,0.00980392156862745,0,19,0,1.7647058823529411,48.009803921568626,0.39215686274509803,49.21568627450981,0.00980392156862745,4.911764705882353,819.8823529411765,184.34313725490196,0.06862745098039216,0.0392156862745098,0.00980392156862745,15.382352941176471,118.50980392156863,25.205882352941178,37.90196078431372,2.2058823529411766,0.0196078431372549,0.049019607843137254,358.1764705882353,0.45098039215686275,0.029411764705882353,0.0196078431372549,0.22549019607843138,0.00980392156862745,1.1372549019607843,9.068627450980392,1.6764705882352942,0.0196078431372549,0.00980392156862745,0.11764705882352941,2.1862745098039214,3.284313725490196,0.00980392156862745,0.14705882352941177,4.029411764705882,0.058823529411764705,9.656862745098039,67.20588235294117,0.3137254901960784,0.0196078431372549,745.7843137254902,0.0392156862745098,5.137254901960785,1.1372549019607843,0,4.480392156862745,0.09803921568627451,0.029411764705882353,0.0392156862745098,0,0.00980392156862745,0.0196078431372549,0.0392156862745098,0,0,0,0,0.3137254901960784,0.029411764705882353,0.0784313725490196,0,0,0,0,0,0,0.00980392156862745,0,0,0,0,0,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0,NA
C2701_U1,-120.549065890462,39.1319111268108,0.44660194174757284,0.0970873786407767,0,0.019417475728155338,3.1844660194174756,0.05825242718446602,0.06796116504854369,0.009708737864077669,0.8737864077669902,0.06796116504854369,0,0.06796116504854369,0.11650485436893204,0.019417475728155338,0.3786407766990291,0.8640776699029126,0.009708737864077669,0.009708737864077669,106.69902912621359,1.2427184466019416,59.067961165048544,0.009708737864077669,0.6990291262135923,397.3980582524272,108.06796116504854,0,0.009708737864077669,0.038834951456310676,7.776699029126213,20.42718446601942,9.83495145631068,2.4174757281553396,0.7961165048543689,0,0.04854368932038835,0.2815533980582524,0.04854368932038835,0,0,29.446601941747574,0,290.0485436893204,0,0.06796116504854369,0.04854368932038835,0,0.05825242718446602,0.7864077669902912,0.7766990291262136,0.038834951456310676,0.1553398058252427,1.5242718446601942,0.1553398058252427,0.009708737864077669,74.67961165048544,1.116504854368932,0,0.2621359223300971,0.04854368932038835,35.601941747572816,5.932038834951456,0.019417475728155338,4.611650485436893,0.019417475728155338,0,10.009708737864077,0.038834951456310676,0.019417475728155338,0.009708737864077669,0,0,0,0,0,0,0,0,0,0.009708737864077669,0,0,0,0,0,0,0,0,0,0.009708737864077669,0,0.009708737864077669,0.009708737864077669,0,0,0,0,0,0,0,0,0,2013
