cell_unit,long,lat,Nitrogen,LMA,Cellulose,Calcium,Chlorophylls,Fiber,Lignin,NSC,Phenolics,Phosphorus,Potassium,Starch,Sugar,Sulfur
C2477_U1,-120.36219303173604,39.276437657187834,13.72632510266931,302.101709118877,140.96253055790342,8.837479995354467,39.03055268307624,307.467247011188,209.86469752608548,281.72605538218477,61.894818928318436,1.0098640124506413,6.255704946996835,56.272840279219444,194.02194991052815,0.7251966806464567
C2477_U2,-120.3578289127931,39.27104134801285,14.861972871527483,308.82898442894765,148.7761748329362,9.453803145518693,40.07183184538131,325.18794870012306,225.03667568694138,274.67080656691047,55.77674155529846,1.0648539148730847,5.992373250605403,54.853250064703666,181.23010585993725,0.7754474647171727
C2616_U1,-120.37733581441644,39.189139508738236,12.580402913246834,302.27099362040065,156.31018085971297,8.75706987729463,40.36946656842365,349.4675313566931,231.00063543532318,289.5118544189456,58.99271475429262,1.0280347961490495,5.812498867289148,53.677777971336056,197.4196267199226,0.7356234964218303
C2616_U2,-120.3774059939235,39.19441143675014,13.355251387489554,299.2746560401641,146.26865412369344,8.258918395835497,37.87701259648449,321.88053639012503,220.28544538947293,289.1384891496143,60.10841395879906,0.9952469229963357,6.325096709743369,54.706836281023335,194.06534255932215,0.6708036110354398
C2641_U1,-120.50734378721123,39.17455314406565,15.848013982136306,259.37373022054254,129.79738079368047,8.929109983089521,39.125061620967124,289.95593169387763,186.06140497854912,300.6381743169864,73.60250357040084,1.1453176485531766,7.690739840405862,51.371610048333366,215.83800188801047,0.9062687457134075
C2642_U1,-120.46128199157415,39.172795322683065,16.998236566945266,275.46791166217713,136.34082665454656,9.177034855149556,40.84677882978777,300.39506026245607,197.98360931049774,291.38150836830897,71.37660504981883,1.1594590229295156,7.188291905054743,51.82369205326457,203.87592937406046,0.9184860656652231
C2642_U2,-120.4714650826417,39.17350637376387,12.513506994135062,313.93501960521183,143.56206804100876,7.855615581280216,39.79540151539878,325.7930775700395,213.94070223291234,293.67581995800424,66.933483454624,1.0137668806897198,6.203906341978539,55.00882725394242,203.57656638395832,0.6845314527475282
C2675_U1,-120.37568491185344,39.15084339142191,14.255390852577607,295.1908286436269,149.38459094859158,8.296186660599192,38.10677830384384,330.3498110972194,224.6377472366605,283.54337424306476,56.54585571091484,0.9998583314496786,6.143108904199199,54.50663684744435,187.12531778709308,0.7111985252899022
C2675_U2,-120.38823356485915,39.157663145630906,12.76445101137646,292.2307551179167,146.73064078605054,8.092638502882926,39.528754829374044,332.6557775425292,218.3290756366148,299.07398131924407,66.46656340470007,1.0020897120087897,6.291314102989424,53.25324676842634,208.5399443952657,0.7315266120661974
C2701_U1,-120.549065890462,39.1319111268108,14.246316781336029,256.0522336500854,143.6524716725924,8.861797244606153,41.84248868588659,315.55335278019265,198.077045754014,295.0347555959081,72.86521525257018,1.1690113007433038,6.904117955647901,51.15070494213071,214.40894461136944,0.9534495276144057
C2701_U2,-120.5576343941674,39.134124222157965,13.562678835775163,256.46384049985176,137.7390205958819,8.418657333490481,40.54798748411966,305.9862943065257,192.05048040237074,303.0554107340996,77.11755262815767,1.1126130330615345,6.939889866395894,51.33069594349788,223.2775904572218,0.8907761628700483
C2702_U1,-120.50922886192227,39.133596313089996,17.066153585758528,260.07604373266406,124.67190322433095,8.712937318512017,38.506276078768686,278.10187946031175,175.47930234473228,306.5715074111869,80.0544012333384,1.1083872628261942,7.829301370656699,51.69948446415792,226.57352316235756,0.9060738562370821
C2702_U2,-120.51432206540977,39.13942157096115,14.638698074926907,249.30711596864896,142.89512182702492,8.105809479236713,40.078495919262274,309.91306583889724,196.7925984953692,301.6111088690927,75.86166818395604,1.1062164080792474,6.847423580843245,51.05181332777061,218.4708783835235,0.8638752194999013
C2720_U1,-120.40841262079017,39.13007715721015,11.994236147245648,315.6295825193292,149.93507136699995,7.753402928452354,40.35991816348781,337.3554394981039,229.70313987933633,288.80509327925284,58.072573153667655,0.9701313659950648,5.707377101020047,55.91154214974274,192.33446300919545,0.6632842354426861
C2720_U2,-120.41175013392728,39.12180277011099,12.462079969606263,282.3706610815826,150.83978070249452,7.648330288874342,37.03649456045905,347.9514318086279,215.85778746257967,303.07495234624304,65.80680903643626,0.9889840761315126,6.261527760344665,52.85623608200751,214.8556298472164,0.7387589572744422
C2746_U1,-120.57765591506679,39.103606598621504,16.428894377526284,276.98477795554703,148.9413548857346,9.797947350885865,39.894961078665965,330.9695492610806,219.4619519898137,279.1558737224451,62.04525066588692,1.199204297345454,6.144811830364389,51.65010468410638,190.619791473265,0.9997353851196449
C2746_U2,-120.57380795108155,39.11364423280994,15.94566155080566,237.7348798829664,138.96528116879944,9.066955399763616,40.6785291531565,299.4282459896516,193.04419348455892,294.4972595127942,74.21622638566937,1.2300091013414116,6.962501433367513,50.25175930989875,211.01525434576672,1.091995260180939
C2747_U1,-120.53525442740339,39.107681603108624,16.307292888232993,267.114319230579,132.86531543761916,9.265393439008934,43.11229460333465,295.8328089740466,196.17183749005224,297.3525684920841,73.88677037563855,1.1682143487033263,7.1507289183079354,51.486486810716926,209.16557039240067,0.960521944151101
C2747_U2,-120.52709705536472,39.11355409937212,14.629880198524365,289.27967423521886,144.79478722020605,7.890790576516385,42.2588542215672,323.22753144542025,210.93838483930926,290.7382940351104,67.88517651656045,1.0423473460826445,6.425386938743378,53.74709233506371,204.04594221562257,0.7995314909968094
C2748_U1,-120.49872453574906,39.10800826671267,16.35775009275804,249.66313753871972,142.78219178651048,9.012836090829614,39.16431185450228,302.28532326373244,199.9819343241473,284.53512427618426,63.36716833800433,1.1287649845458174,7.384671550712702,51.463332359115036,194.86603711892155,0.8845695751407125
C2748_U2,-120.4865791955464,39.113092471502185,18.653605937047693,208.71433545708172,136.18158610765806,9.081367724360904,42.06417852441776,274.11056271985285,177.85101772911432,288.4531132350699,69.52902318651817,1.1995102830023847,8.188033967848197,49.36830830207273,202.89927631275165,1.0051150554272443
C2791_U1,-120.56080787332982,39.07611541790554,12.111558953292157,300.7745356958907,147.3453551063009,7.691749843902909,40.61626919080597,336.98529903448537,218.3790975888728,301.0166171469685,67.15289846896385,0.987215756963356,6.310561114343696,53.999705916586755,211.51699269061484,0.6823343592704014
C2791_U2,-120.55017185489089,39.08185362564525,14.294128409585397,280.92153005857097,146.9587952783315,7.925975282884818,42.32054532663653,326.2709138028346,213.16368403086514,296.497818851613,68.76418563863585,1.0497746348067005,6.580284514804455,52.849220144751804,207.48827837955682,0.7706153223185392
C2793_U1,-120.47169642836343,39.07488893298644,15.071458264003827,260.1064745058733,127.45547064675206,8.298901539844332,41.91456637621903,275.4279332549667,173.27161031081795,310.0642581548062,80.18121418414005,1.1314331655819083,8.01777404319474,51.82454870491252,226.74751908361088,0.8640449644916807
C2793_U2,-120.4663117848188,39.072100695319776,15.67286720334725,256.4209956151483,139.3030815500033,8.66343563358735,38.80398022678018,297.47322439715873,198.07578560584696,290.68308670205585,63.308515894604085,1.0822525233923164,7.3789457928840525,52.45567950638741,199.68731197511173,0.8371627772629542
C2794_U1,-120.4206312985627,39.07913943232356,17.917756334079105,231.27065840321603,139.04929593877924,9.614816161369562,39.623219419989766,296.80200423153633,197.79028647643207,289.70873180629076,66.0999456175993,1.1802860206325703,7.268045700620282,49.93711140656041,200.6127599629665,1.0170844216750465
C2794_U2,-120.42838044620258,39.07402521017769,15.727246778309404,248.8845543747008,143.59689251874514,8.872730161204892,39.11501206624544,320.9296148904657,204.91458386565884,302.43117196039077,68.22203362106201,1.1119907864338323,7.0032108953518355,50.10578786786316,214.7704220815285,0.9353600223922655
C2836_U1,-120.57614591328228,39.044262191048226,12.615122870239812,292.9134910785038,157.67652417232463,7.455615090759358,40.552523411236244,354.0529190333688,227.8116988883049,289.0173936363397,59.799069666129604,1.0421876152537615,5.960164066788078,53.915916264545785,197.35585051819712,0.7641723504989595
C2836_U2,-120.57518366790099,39.05820402771507,13.399329074305477,270.3058117456406,162.18016297071438,7.74109254337051,36.729591148732666,357.39411616938526,232.11110924170478,286.8210108718435,55.653815802329405,1.0125891131282743,5.6957770966384995,53.02777597341414,194.18999681637706,0.7523200406481453
C2838_U1,-120.49658539685389,39.04283896700155,14.711987986817942,247.9686037902269,150.16686915504974,8.1389093155474,43.13759504392998,321.1637149988594,205.69338079059858,291.3641631560196,65.27750520553177,1.1007336485455004,6.8468710718435775,51.455748044671715,202.31617316772423,0.9130671596448856
C2838_U2,-120.48365486979878,39.04811939394179,15.81792179554012,248.21063005666593,150.6308067487666,8.44782674880183,40.327619834899295,318.9470812229937,211.7558772039815,283.5157107260523,59.531351739789876,1.086702277991157,6.899644865796775,51.77868107162295,192.02750302166172,0.8972369061586971
C2839_U1,-120.44170663435759,39.05270198494117,24.080894909698895,121.71978211820904,124.46694786284822,10.300910341051688,41.95827623729019,231.19255769799173,137.07665543561836,294.94155735210677,82.99237949549854,1.425911582192521,10.43856070101242,42.94723662115861,219.47444450734227,1.3463936681009128
C2839_U2,-120.45091604510193,39.04326967051528,21.041676726793764,158.30733696647712,119.40970208126784,9.025624756544046,43.097852833542,231.89104578470116,137.79692151690293,313.1336572345918,89.00602834470064,1.343191982972955,9.892658521220717,45.64670122186046,234.65974381942715,1.225284335796477
C2868_U1,-120.53997883722327,39.033744184809294,16.548150564438888,237.0438938863906,147.4083188596577,8.505887895327112,36.72635475895248,320.0318918408147,204.97035663885936,285.61929014308106,59.808256700777946,1.1008010154252903,7.555973802297315,50.41650497640011,196.60540513488968,0.889960306506154
